id,title,description,type,eddystone_instance_id,eddystone_namespace_id,ibeacon_uuid,ibeacon_major_id,ibeacon_minor_id,scenario_id
0xd3ae042e808302134a8e-0x4eaa44639aec-jobfair,"Grünecker Patent- und Rechtsanwälte PartG mbB","Patent and trademark law.",BCN_EDDY,0x4eaa44639aec,0xd3ae042e808302134a8e,NULL,NULL,NULL,jobfair
0xd3ae042e808302134a8e-0x4eaa44639aec-museum,"Phone Charging Station","Recharge your phone battery with stationary chargers.",BCN_EDDY,0x4eaa44639aec,0xd3ae042e808302134a8e,NULL,NULL,NULL,museum
0xd90f2bff1d4e3249e8e1-0x4bf240cb9a58-jobfair,"CERN - European Organization for Nuclear Research","Engineering, Science, Technology, Physics, Mathematics.",BCN_EDDY,0x4bf240cb9a58,0xd90f2bff1d4e3249e8e1,NULL,NULL,NULL,jobfair
0xd90f2bff1d4e3249e8e1-0x4bf240cb9a58-museum,"Diamond Sutra (Book)","The oldest known printed book. It dates back to 868, the period of the Tang Dynasty in China.",BCN_EDDY,0x4bf240cb9a58,0xd90f2bff1d4e3249e8e1,NULL,NULL,NULL,museum
0xd970e8108179c7c0a886-0xbc2e4613b241-jobfair,"Amazon EU SARL","Logistics & Online Trade.",BCN_EDDY,0xbc2e4613b241,0xd970e8108179c7c0a886,NULL,NULL,NULL,jobfair
0xd970e8108179c7c0a886-0xbc2e4613b241-museum,"VR Moon Rover","Experience a simulation of the Moon Rover's ride on the moon in Virtual Reality. The exhibit includes a replica of the physical lever, creating maximum immersion.",BCN_EDDY,0xbc2e4613b241,0xd970e8108179c7c0a886,NULL,NULL,NULL,museum
0xda41ec699b4dbd60493e-0x2e5247ed9fc0-jobfair,"KPMG AG","We support our clients in the areas of auditing, tax and business consulting (consulting and deal advisory).",BCN_EDDY,0x2e5247ed9fc0,0xda41ec699b4dbd60493e,NULL,NULL,NULL,jobfair
0xda41ec699b4dbd60493e-0x2e5247ed9fc0-museum,"Wax Figure of Albert Einstein","Meet Albert Einstein, one of the world's most respected scientists. Albert's achievements have surpassed those of Galileo, Newton and Darwin and his name has become synonymous with genius.",BCN_EDDY,0x2e5247ed9fc0,0xda41ec699b4dbd60493e,NULL,NULL,NULL,museum
0xdd36797e65c107ec9cb4-0x9513400e9fa4-jobfair,"Infineon Technologies AG","Infineon designs, develops, manufactures and markets a wide range of semiconductor and system solutions.",BCN_EDDY,0x9513400e9fa4,0xdd36797e65c107ec9cb4,NULL,NULL,NULL,jobfair
0xdd36797e65c107ec9cb4-0x9513400e9fa4-museum,"Snacks Vending Machine","Purchase snacks, such as candy, chocolate bars or chips.",BCN_EDDY,0x9513400e9fa4,0xdd36797e65c107ec9cb4,NULL,NULL,NULL,museum
0xe4e335e461e100166f36-0x1f764e5699bf-jobfair,"Meeting Room","Take a meeting room to have a one-on-one interview. A recommendation indicates that the room is free.",BCN_EDDY,0x1f764e5699bf,0xe4e335e461e100166f36,NULL,NULL,NULL,jobfair
0xe4e335e461e100166f36-0x1f764e5699bf-museum,"VR Glider of Otto Lilienthal","Karl Wilhelm Otto Lilienthal was a pioneer of aviation who successfully and repeatedly performed gliding flights. We scanned every detail his original glider to reconstruct it and make it a virtual experience. The aim was to show the visitors the aerospace topic as vividly as possible. They can virtually float above Berlin and have the task to land on a marked point.",BCN_EDDY,0x1f764e5699bf,0xe4e335e461e100166f36,NULL,NULL,NULL,museum
0xefc38ae877f92ccd4f46-0x25c94092a6ab-jobfair,"Autonomous Intelligent Driving GmbH","AID is bringing together the world’s top software, roboticists and AI talents to ignite a human centered revolution in autonomous driving.",BCN_EDDY,0x25c94092a6ab,0xefc38ae877f92ccd4f46,NULL,NULL,NULL,jobfair
0xefc38ae877f92ccd4f46-0x25c94092a6ab-museum,"Drinks Vending Machine","Purchase cold drinks.",BCN_EDDY,0x25c94092a6ab,0xefc38ae877f92ccd4f46,NULL,NULL,NULL,museum
0xf45d74261408a4960515-0x481544afbfb1-jobfair,"Photo Booth","Take some application photos including instant printouts.",BCN_EDDY,0x481544afbfb1,0xf45d74261408a4960515,NULL,NULL,NULL,jobfair
0xf45d74261408a4960515-0x481544afbfb1-museum,"Mine at Deutsches Museum","The mining section of the museum consists of an itinerary roughly 400 m long. Some three quarters of this are underground and provide a realistic impression of the atmosphere in a mine. It shows mining techniques from the 16th century to the present and gives an impressive picture of the conditions below ground. The mine extends over three levels, linked by narrow steps and slopes.",BCN_EDDY,0x481544afbfb1,0xf45d74261408a4960515,NULL,NULL,NULL,museum
0xf6656172bc517b7525df-0x02064e67bc87-jobfair,"Develey Senf & Feinkost GmbH","Production and distribution of mustard and delicatessen products.",BCN_EDDY,0x02064e67bc87,0xf6656172bc517b7525df,NULL,NULL,NULL,jobfair
0xf6656172bc517b7525df-0x02064e67bc87-museum,"Audio Station","A wall with several headphones showcasing audio samples, such as radio reports from historical sports events.",BCN_EDDY,0x02064e67bc87,0xf6656172bc517b7525df,NULL,NULL,NULL,museum
acfd065e-c3c0-11e3-9bbe-1a514932ac01-1-22944-jobfair,"Procter & Gamble GmbH","Beauty Care, Fabric Care, Oral Care, Feminine Care, Baby Care.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,1,22944,jobfair
acfd065e-c3c0-11e3-9bbe-1a514932ac01-1-22944-museum,"Souvenir Vending Machine","A vending machine supplying souvenirs related to the museum's exhibits.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,1,22944,museum
acfd065e-c3c0-11e3-9bbe-1a514932ac01-1-22945-jobfair,"Check-In Machine for Speed Dating","Use the machine to schedule speed dating and one-on-one interviews with companies.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,1,22945,jobfair
acfd065e-c3c0-11e3-9bbe-1a514932ac01-1-22945-museum,"Ticket Machine","Get your tickets for the museum from this machine.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,1,22945,museum
acfd065e-c3c0-11e3-9bbe-1a514932ac01-1-22949-jobfair,"NTT DATA Deutschland GmbH","IT consulting and services for the automotive, manufacturing, banking, insurance, telecommunications and services & logistics industries.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,1,22949,jobfair
acfd065e-c3c0-11e3-9bbe-1a514932ac01-1-22949-museum,"David (Sculpture)","A Renaissance marble sculpture created by Michelangelo. It depicts the Biblical hero David and is more than five meters tall.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,1,22949,museum
acfd065e-c3c0-11e3-9bbe-1a514932ac01-1-22951-jobfair,"Brainlab AG","Navigation systems for neurosurgery, ENT surgery, orthopaedics, spinal surgery, traumatology as well as complete solutions for radiosurgery.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,1,22951,jobfair
acfd065e-c3c0-11e3-9bbe-1a514932ac01-1-22951-museum,"Shark in Formaldehyde (Artwork)","Created in 1991 by Damien Hirst. The artwork shows a tiger shark preserved in formaldehyde. The artist created many artworks like this, including some animals cut in half.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,1,22951,museum
acfd065e-c3c0-11e3-9bbe-1a514932ac01-1-22953-jobfair,"Celonis SE","Celonis is the leader in business transformation software, turning process insights into action with process mining technology. Its Intelligent Business Cloud allows global organizations to guide action and drive change in the operational backbone of their business.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,1,22953,jobfair
acfd065e-c3c0-11e3-9bbe-1a514932ac01-1-22953-museum,"WiFi Access Point","Use public WiFi within this area to access the Internet using your own device. The service is free of charge.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,1,22953,museum
acfd065e-c3c0-11e3-9bbe-1a514932ac01-1-22954-jobfair,"LEITNER AG","Rope Conveyors, Ski Piste and Tracked Commercial Vehicles, Technical Snowmaking, Wind Power Plants.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,1,22954,jobfair
acfd065e-c3c0-11e3-9bbe-1a514932ac01-1-22954-museum,"Migrant Mother (Photograph)","Photograph from Dorothea Lange, taken in 1936. It shows the mother of seven children during the Great Depression and has become an iconic image of that time.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,1,22954,museum
acfd065e-c3c0-11e3-9bbe-1a514932ac01-10-22944-jobfair,"Snacks Vending Machine","Purchase snacks, such as candy, chocolate bars or chips.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,10,22944,jobfair
acfd065e-c3c0-11e3-9bbe-1a514932ac01-10-22944-museum,"Wright Flyer","The first heaver-than-air powered aircraft that made a successful flight. It was built by the Wright brothers in 1903. The airplane is on display in the National Air and Space Museum in Washington D.C.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,10,22944,museum
acfd065e-c3c0-11e3-9bbe-1a514932ac01-10-22945-jobfair,"MTU Aero Engines AG","MTU Aero Engines develops, manufactures, markets and services commercial and military engines, aircraft and helicopter engines and industrial gas turbines.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,10,22945,jobfair
acfd065e-c3c0-11e3-9bbe-1a514932ac01-10-22945-museum,ATM,"Grab some cash for entrance fees or the café.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,10,22945,museum
acfd065e-c3c0-11e3-9bbe-1a514932ac01-2-22946-jobfair,"Allianz Deutschland AG","Insurance and Financial Services.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,2,22946,jobfair
acfd065e-c3c0-11e3-9bbe-1a514932ac01-2-22946-museum,"VR Benz Patent Motor Car","With the Benz Patent Motor Car, a milestone in vehicle history can be experienced virtually. It is regarded as the world's first automobile. The motor vehicle with three wheels consists mainly of bicycle parts. Take a virtual trip and experience what it felt like to travel with an automobile at the end of the 18th century.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,2,22946,museum
acfd065e-c3c0-11e3-9bbe-1a514932ac01-3-22947-jobfair,"Landeshauptstadt München","Munich is a cosmopolitan city, a community and a task. Munich needs people who are committed to this city and who want to help shape the state capital with their professional tasks.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,3,22947,jobfair
acfd065e-c3c0-11e3-9bbe-1a514932ac01-3-22947-museum,"Penny Press","Take home a souvenir from the museum. Insert a penny and start the machine. The press will transform your penny into a display of the museum's most famous exhibits.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,3,22947,museum
acfd065e-c3c0-11e3-9bbe-1a514932ac01-4-22948-jobfair,Accenture,"Strategy, management and technology consulting, technology solutions (implementation of IT and digital solutions) and operations.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,4,22948,jobfair
acfd065e-c3c0-11e3-9bbe-1a514932ac01-4-22948-museum,"Model of Troll A (Offshore Platform)","A model of Troll A, the tallest and heaviest structure ever moved by mankind. It weighs almost 700,000 tons and was built on the west coast of Norway, then moved to the Troll field.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,4,22948,museum
acfd065e-c3c0-11e3-9bbe-1a514932ac01-6-22950-jobfair,"KATHREIN SE","Mobile Radio, Satellite Reception, Special Communication, Radio.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,6,22950,jobfair
acfd065e-c3c0-11e3-9bbe-1a514932ac01-6-22950-museum,"The Scream (Painting)","A painting by Norwegian Expressionist artist Edvard Munch, created in 1893.",BCN_I,NULL,NULL,acfd065ec3c011e39bbe1a514932ac01,6,22950,museum
